,User_Addr,Class,Eyes,Ears,Back,Mouth,Horn,Tail
140,0xd309ae634b0596f7922a6e66f3837bc5e70cc8de,Beast,Scar,Early Bird,Ronin,Goda,Dual Blade,Nut Cracker
141,0x2833ed75172d0cb1840b804b65ae26d9a1675eda,Plant,Papi,Rosa,Snail Shell,Serious,Cactus,Carrot
142,0x2833ed75172d0cb1840b804b65ae26d9a1675eda,Beast,Chubby,Belieber,Risky Beast,Nut Cracker,Dual Blade,Nut Cracker
143,0x2833ed75172d0cb1840b804b65ae26d9a1675eda,Dusk,Papi,Sakura,Tri Spikes,Razor Bite,Incisor,Gravel Ant
144,0x53ff4d423f451bd0793d08b4fe184a9204530ef6,Plant,Papi,Hollow,Watering Can,Serious,Leaf Bug,Carrot
145,0x53ff4d423f451bd0793d08b4fe184a9204530ef6,Reptile,Tricky,Curly,Tri Spikes,Tiny Turtle,Incisor,Thorny Caterpillar
146,0x53ff4d423f451bd0793d08b4fe184a9204530ef6,Aquatic,Clear,Bubblemaker,Goldfish,Doubletalk,Shoal Star,Nimo
147,0x549cf67cba55137e05ab9d05a23041b163b81cf8,Mech,Chubby,Nyan,Ronin,Nut Cracker,Imp,Nut Cracker
148,0x549cf67cba55137e05ab9d05a23041b163b81cf8,Plant,Papi,Leafy,Pumpkin,Serious,Leaf Bug,Cattail
149,0x549cf67cba55137e05ab9d05a23041b163b81cf8,Aquatic,Telescope,Gill,Goldfish,Risky Fish,Watermelon,Navaga
150,0xa1210ae7ff47b2cc10dc36fdead4a00e050ab0ff,Dusk,Scar,Nimo,Snail Shell,Tiny Turtle,Incisor,Snake Jar
151,0xa1210ae7ff47b2cc10dc36fdead4a00e050ab0ff,Plant,Papi,Rosa,Watering Can,Cute Bunny,Leaf Bug,Cattail
152,0xa1210ae7ff47b2cc10dc36fdead4a00e050ab0ff,Reptile,Topaz,Bubblemaker,Snail Shell,Tiny Turtle,Lagging,Thorny Caterpillar
153,0x187887a05cab4877398aeda019228e67740f8dc9,Reptile,Papi,Leafy,Indian Star,Tiny Turtle,Cerastes,Grass Snake
154,0x187887a05cab4877398aeda019228e67740f8dc9,Aquatic,Telescope,Leafy,Furball,Toothless Bite,Little Branch,Hare
155,0x187887a05cab4877398aeda019228e67740f8dc9,Plant,Confused,Sakura,Watering Can,Serious,Leaf Bug,Yam
156,0x898052925300283aee0fe01568979d88687a2ef5,Reptile,Confused,Clover,Bone Sail,Razor Bite,Lagging,Rice
157,0x898052925300283aee0fe01568979d88687a2ef5,Dusk,Gecko,Nimo,Red Ear,Herbivore,Beech,Snake Jar
158,0x898052925300283aee0fe01568979d88687a2ef5,Beast,Mavis,Nut Cracker,Ronin,Nut Cracker,Dual Blade,Cottontail
159,0x54ae550c21949dacb5550de5f1b8a2b35e0ed987,Plant,Papi,Pogona,Pumpkin,Serious,Leaf Bug,Yam
160,0x54ae550c21949dacb5550de5f1b8a2b35e0ed987,Aquatic,Telescope,Tiny Fan,Garish Worm,Piranha,Oranda,Shrimp
161,0x54ae550c21949dacb5550de5f1b8a2b35e0ed987,Reptile,Clear,Nyan,Snail Shell,Tiny Turtle,Lagging,Thorny Caterpillar
162,0xa57aa0418d79a40ba01e8eb0a6eae150bd2e8304,Plant,Confused,Rosa,Indian Star,Cute Bunny,Cactus,Tiny Dino
163,0xa57aa0418d79a40ba01e8eb0a6eae150bd2e8304,Bug,Bookworm,Seaslug,Buzz Buzz,Cute Bunny,Caterpillars,Nimo
164,0xa57aa0418d79a40ba01e8eb0a6eae150bd2e8304,Plant,Tricky,Small Frill,Sponge,Cute Bunny,Cactus,Carrot
165,0xa90c58361c456d1feff8773ddab0f28b0bd09313,Reptile,Robin,Beetle Spike,Green Thorns,Dango,Kestrel,Wall Gecko
166,0xa90c58361c456d1feff8773ddab0f28b0bd09313,Beast,Tricky,Ear Breathing,Risky Beast,Nut Cracker,Dual Blade,Fish Snack
167,0xa90c58361c456d1feff8773ddab0f28b0bd09313,Plant,Papi,Clover,Pumpkin,Serious,Leaf Bug,Hot Butt
168,0x142148e11e4ee5b7747fc5a4407d85984d5ec19e,Aquatic,Telescope,Inkling,Blue Moon,Piranha,Oranda,Nimo
169,0x142148e11e4ee5b7747fc5a4407d85984d5ec19e,Plant,Papi,Sakura,Pumpkin,Serious,Cactus,Carrot
170,0x142148e11e4ee5b7747fc5a4407d85984d5ec19e,Reptile,Robin,Seaslug,Bone Sail,Tiny Turtle,Incisor,Grass Snake
171,0xdf0efd6173c36fe561b0c1939cf55d6bb9b89da0,Beast,Blossom,Belieber,Risky Beast,Goda,Dual Blade,Rice
172,0xdf0efd6173c36fe561b0c1939cf55d6bb9b89da0,Plant,Blossom,Lotus,Watering Can,Serious,Beech,Hatsune
